,Position,Team,Weighted Matches,Points,Rating
0,1,Pakistan,26,"7,365",283
1,2,England,16,"4,253",266
2,3,South Africa,16,"4,196",262
3,4,India,31,"8,099",261
4,5,Australia,21,"5,471",261
5,6,New Zealand,16,"4,056",254
6,7,Afghanistan,16,"3,849",241
7,8,Sri Lanka,18,"4,093",227
8,9,West Indies,24,"5,378",224
9,10,Bangladesh,16,"3,525",220
10,11,Nepal,14,"2,818",201
11,12,Scotland,11,"2,185",199
12,13,UAE,18,"3,486",194
13,14,Zimbabwe,13,"2,376",183
14,15,Ireland,21,"3,817",182
15,16,Netherlands,15,"2,710",181
16,17,Papua New Guinea,22,"3,834",174
17,18,Oman,5,774,155
18,19,Hong Kong,8,"1,213",152
19,20,Namibia,14,"2,038",146
20,21,Singapore,13,"1,707",131
21,22,Qatar,18,"2,262",126
22,23,Saudi Arabia,11,"1,331",121
23,24,Canada,10,"1,154",115
24,25,Jersey,16,"1,834",115
25,26,Italy,10,"1,121",112
26,27,Denmark,12,"1,277",106
27,28,Kuwait,13,"1,354",104
28,29,Kenya,12,"1,229",102
29,30,Bermuda,4,408,102
30,31,Germany,18,"1,535",85
31,32,United States,12,977,81
32,33,Botswana,17,"1,355",80
33,34,Ghana,10,773,77
34,35,Malaysia,21,"1,620",77
35,36,Uganda,14,"1,069",76
36,37,Austria,6,439,73
37,38,Norway,9,638,71
38,39,Nigeria,10,708,71
39,40,Guernsey,15,969,65
40,41,Cayman Islands,5,305,61
41,42,Sweden,8,465,58
42,43,Tanzania,6,334,56
43,44,Luxembourg,6,328,55
44,45,Spain,12,602,50
45,46,Philippines,9,433,48
46,47,France,6,267,45
47,48,Belize,9,377,42
48,49,Peru,9,356,40
49,50,Bahrain,7,261,37
50,51,Mexico,12,426,36
51,52,Fiji,6,210,35
52,53,Panama,9,291,32
53,54,Belgium,9,290,32
54,55,Japan,10,317,32
55,56,Samoa,10,317,32
56,57,Costa Rica,8,252,32
57,58,Vanuatu,15,464,31
58,59,Argentina,12,370,31
59,60,Hungary,6,180,30
60,61,Mozambique,12,352,29
61,62,Thailand,14,369,26
62,63,Chile,10,249,25
63,64,Malawi,12,297,25
64,65,Israel,7,173,25
65,66,Finland,13,296,23
66,67,Bhutan,8,180,23
67,68,South Korea,10,217,22
68,69,Isle of Man,7,149,21
69,70,Malta,11,158,14
70,71,Bulgaria,5,68,14
71,72,Sierra Leone,5,61,12
72,73,Brazil,9,108,12
73,74,Maldives,11,114,10
74,75,Czech Republic,10,91,9
75,76,Saint Helena,12,109,9
76,77,Gibraltar,8,35,4
77,78,Myanmar,9,23,3
78,79,Indonesia,7,3,0
79,80,Lesotho,6,0,0
80,81,Rwanda,6,0,0
81,82,Swaziland,6,0,0
82,83,Gambia,6,0,0
83,84,China,11,0,0
