,bidnumber,Items,Quantity Required,Dept name and address,start date,Ending date
0,BID NO: GEM/2019/B/323602,Item(s): Waste Containers Or Rigid Liners- Dust Bin Or Garbage Bin Or Household Bin,Quantity Required: 4,"Ministry Of Defence
Department Of Defence
Asc Records (at) N/a",Start Date: 19-08-2019 10:15 AM,End Date: 29-08-2019 01:00 PM
1,RA NO: GEM/2019/RA/16532,Item(s): Galvanized Steel Sheets,Quantity Required: 211,"Ministry Of Defence
Department Of Defence
Hq Ce(p) Himank /border Roads Organisation N/a",Start Date: 27-08-2019 01:42 PM,End Date: 29-08-2019 01:00 PM
2,BID NO: GEM/2019/B/318257,Item(s): Line Intractive UPS With AVR,Quantity Required: 9,"Ministry Of Defence
Department Of Defence
Ihq Of Mod (army), Dv Dte, Ag's Branch, Sena Bhavan, New Delhi-110011, Central Delhi, Delhi-110011 N/a",Start Date: 09-08-2019 05:09 PM,End Date: 29-08-2019 01:00 PM
3,RA NO: GEM/2019/RA/16533,Item(s): Galvanized Steel Sheets,Quantity Required: 26,"Ministry Of Defence
Department Of Defence
Hq Ce(p) Himank /border Roads Organisation N/a",Start Date: 27-08-2019 01:37 PM,End Date: 29-08-2019 01:00 PM
4,RA NO: GEM/2019/RA/15266,Item(s): Computer Printers,Quantity Required: 3,"Delhi
Higher Education Department Delhi
Dr Bhim Rao Ambedkar College Directorate Of Higher Education",Start Date: 27-08-2019 01:03 PM,End Date: 29-08-2019 01:00 PM
5,RA NO: GEM/2019/RA/16621,Item(s): Balli / Wood Pole,Quantity Required: 9455,"Chhattisgarh
Forest Department Chhattisgarh
Bilaspur N/a",Start Date: 27-08-2019 01:01 PM,End Date: 29-08-2019 01:00 PM
6,BID NO: GEM/2019/B/322544,Item(s): Mouse Pad,Quantity Required: 15,"Ministry Of Defence
Department Of Defence
Hq Ce(p) Himank /border Roads Organisation N/a",Start Date: 19-08-2019 10:37 AM,End Date: 29-08-2019 01:00 PM
7,BID NO: GEM/2019/B/323915,Item(s): TABLE FAN / WALL MOUNT FAN / CEILING MOUNT FAN,Quantity Required: 43,"Ministry Of Home Affairs
Central Armed Police Forces
Dte. Genl. Central Reserve Police Force (crpf)",Start Date: 19-08-2019 10:56 AM,End Date: 29-08-2019 01:00 PM
8,BID NO: GEM/2019/B/324144,Item(s): Firewall,Quantity Required: 1,"Ministry Of Communications
Department Of Telecommunications (dot)
New Delhi Bharat Sanchar Nigam Limited Portal(bsnl)",Start Date: 19-08-2019 11:26 AM,End Date: 29-08-2019 01:00 PM
9,BID NO: GEM/2019/B/324149,Item(s): TABLE FAN / WALL MOUNT FAN / CEILING MOUNT FAN,Quantity Required: 2,"Ministry Of Defence
Department Of Defence
222 Abod N/a",Start Date: 19-08-2019 10:06 AM,End Date: 29-08-2019 01:00 PM
